Date,Day_of_Week,Month,Product_ID,Product_Category,Product_Price,Product_Features,Historical_Sales_Quantity,Historical_Sales_Revenue,Current_Inventory_Level,Reorder_Point,Lead_Time,Promotion_Type,Customer_Segmentation,Economic_Indicator,Supplier_Performance,Customer_Rating,Stock_Available,Sales_Quantity,Promotion_Flag,Sales_Revenue
2010-01-19,Tuesday,January,4509,Furniture,619.4052,Solid Wood,446,2295.271,60,6.413431560482818,8,Discount,Segment2,0.87,0.62,4.43,488,48,1,3245
2010-01-20,Wednesday,January,3728,Electronics,563.86476,Wi-Fi Enabled,430,2649.9120000000003,96,11.964021757526398,8,Discount,Segment3,1.27,0.8,4.48,370,38,1,2719
2010-01-21,Thursday,January,2123,Toys,496.92885,Interactive,368,1039.8744,9,5.842875730101152,4,Discount,Segment1,0.95,0.36,3.65,655,75,1,1916
2010-01-22,Friday,January,9784,Clothing,780.1156000000001,Slim Fit,455,463.9905,15,7.639941664297781,7,Discount,Segment1,2.14,0.15,4.73,516,53,1,3395
2010-01-23,Saturday,January,2671,Books,231.76016,Hardcover,195,182.2248,165,2.9019030857306554,3,Bundle,Segment1,2.18,0.18,1.8,133,13,1,346
2010-01-24,Sunday,January,3688,Clothing,735.0168,Slim Fit,391,521.244,-7,3.0318784246287316,3,Bundle,Segment2,1.68,0.18,3.88,508,47,1,2346
2010-01-25,Monday,January,4439,Clothing,332.22299999999996,UV Protection,460,2576.2720000000004,-40,3.3820498422948564,5,Discount,Segment3,2.05,0.8,4.75,94,3,1,2820
2010-01-26,Tuesday,January,5450,Furniture,364.35360000000003,Solid Wood,153,2268.0930999999996,68,2.0587550003721913,4,Discount,Segment2,2.08,0.47,1.43,147,11,1,1523
2010-01-27,Wednesday,January,2849,Toys,801.1891800000001,Battery-Powered,189,1828.7423999999999,14,7.472601931117074,7,None,Segment3,1.67,0.64,1.93,342,41,0,946
2010-01-28,Thursday,January,8101,Furniture,1022.2245,Adjustable Shelves,255,54.168,119,2.8118737643424336,4,Discount,Segment3,1.93,0.4,2.59,394,30,1,81
2010-01-29,Friday,January,6004,Furniture,178.70489999999998,Leather Upholstery,431,1335.4191999999998,-98,10.341004131810333,9,Bundle,Segment3,2.42,0.41,4.39,51,11,1,2479
2010-01-30,Saturday,January,7306,Furniture,348.0294,Adjustable Shelves,489,66.1626,16,1.2867801736034832,2,Bundle,Segment1,2.44,0.59,4.82,83,5,1,125
2010-01-31,Sunday,January,8271,Clothing,201.4689,UV Protection,437,860.5806000000001,-39,1.7064223811175543,2,Discount,Segment2,1.59,0.66,4.19,83,2,1,1273
2010-02-01,Monday,February,3480,Clothing,55.12669999999999,Slim Fit,318,644.942,14,4.7796149060131805,5,None,Segment2,1.67,0.2,3.07,33,2,0,1970
2010-02-02,Tuesday,February,7152,Toys,128.2512,Interactive,324,3181.2912,74,7.924788701630208,7,Discount,Segment2,1.05,0.81,3.06,74,-3,1,2322
2010-02-03,Wednesday,February,6125,Electronics,278.133,Bluetooth Connectivity,105,3505.0840000000003,66,1.062145059636796,2,Bundle,Segment3,0.83,0.74,1.05,326,37,1,969
2010-02-04,Thursday,February,7110,Electronics,1452.9448799999998,Bluetooth Connectivity,449,797.264,154,2.226749300428193,2,None,Segment1,2.46,0.16,4.44,551,48,0,3712
2010-02-05,Friday,February,4823,Clothing,105.2912,Slim Fit,446,1623.5472000000002,-9,7.746643469734209,8,Bundle,Segment3,1.58,0.33,4.59,73,14,1,4194
2010-02-06,Saturday,February,3799,Books,132.89744000000002,Award-Winning,159,474.63120000000004,131,8.319124952954265,7,Discount,Segment2,1.81,0.24,1.76,117,19,1,621
2010-02-07,Sunday,February,6364,Clothing,175.3891,Slim Fit,410,1806.87,-18,10.31136516561694,10,Bundle,Segment1,1.97,0.75,4.24,101,19,1,1727
2010-02-08,Monday,February,1525,Electronics,638.12232,Wi-Fi Enabled,319,3107.955,38,10.498719344201582,8,Discount,Segment2,1.98,0.75,3.1,188,14,1,2473
2010-02-09,Tuesday,February,9146,Books,269.70216000000005,Bestseller,268,877.4238000000001,-14,0.9222026786472601,1,None,Segment3,0.91,0.19,2.59,411,39,0,2858
2010-02-10,Wednesday,February,6456,Electronics,183.552,Wi-Fi Enabled,457,1639.1148,43,0.9929381389543931,1,None,Segment3,1.28,0.37,4.46,161,11,0,3266
2010-02-11,Thursday,February,2716,Electronics,305.99495999999994,4K Ultra HD,328,3808.5642,29,4.160151881579328,4,None,Segment2,1.13,0.87,3.24,151,12,0,2432
2010-02-12,Friday,February,5377,Electronics,136.6464,4K Ultra HD,463,649.944,102,5.156232923560397,7,Discount,Segment3,1.1,0.4,4.44,153,14,1,1415
2010-02-13,Saturday,February,3059,Furniture,794.8454999999999,Solid Wood,366,2995.4496000000004,17,12.510122711131023,9,Discount,Segment2,1.15,0.78,3.79,476,41,1,3474
2010-02-14,Sunday,February,5753,Clothing,112.60340000000001,UV Protection,382,2759.4204,151,4.9974956342127586,8,None,Segment2,1.61,0.66,3.91,57,-1,0,3755
2010-02-15,Monday,February,5850,Clothing,64.4984,Slim Fit,320,3058.302,108,0.7987119966024917,1,None,Segment2,1.48,0.78,3.19,56,9,0,2149
2010-02-16,Tuesday,February,5657,Furniture,1582.0791,Leather Upholstery,165,715.7115,86,13.090289010061612,9,Bundle,Segment2,2.26,0.21,1.61,664,70,1,932
2010-02-17,Wednesday,February,6500,Furniture,437.8512,Solid Wood,383,326.4689,58,10.626520324839648,9,Bundle,Segment1,0.76,0.23,3.91,473,53,1,969
2010-02-18,Thursday,February,8404,Electronics,29.55864,Wi-Fi Enabled,424,1735.7949,39,3.6691785781364814,3,Discount,Segment2,1.58,0.63,4.27,17,10,1,2180
2010-02-19,Friday,February,1316,Clothing,92.1162,100% Cotton,449,1720.6275,75,10.415054091510969,9,Discount,Segment2,1.02,0.75,4.51,86,14,1,2450
2010-02-20,Saturday,February,6223,Furniture,37.400099999999995,Leather Upholstery,93,848.7469,183,14.542118094223948,10,Bundle,Segment2,0.59,0.43,1.11,24,9,1,425
2010-02-21,Sunday,February,6179,Furniture,231.93795,Adjustable Shelves,111,3928.2513000000004,93,1.0000813712025418,2,Discount,Segment1,1.67,0.79,1.08,82,10,1,1021
2010-02-22,Monday,February,5100,Furniture,851.52,Adjustable Shelves,277,1427.9427,-42,2.5180917655972834,2,Bundle,Segment2,2.0,0.89,2.75,265,36,1,993
2010-02-23,Tuesday,February,5422,Clothing,652.365,Slim Fit,350,3629.1606000000006,-42,1.1188283994519246,1,Bundle,Segment1,1.9,0.78,3.61,503,51,1,3333
2010-02-24,Wednesday,February,7861,Toys,641.1174,Battery-Powered,438,947.046,116,8.675478967893977,6,Bundle,Segment3,1.4,0.6,4.21,355,30,1,1571
2010-02-25,Thursday,February,1006,Books,41.04144,Bestseller,384,1535.4689,139,10.801516221075325,10,Bundle,Segment2,1.98,0.49,3.79,14,10,1,2774
2010-02-26,Friday,February,2450,Electronics,1239.4852799999999,4K Ultra HD,288,3163.0782000000004,87,9.45542228579183,9,None,Segment2,2.42,0.74,2.97,496,49,0,2448
2010-02-27,Saturday,February,8367,Furniture,524.11095,Leather Upholstery,274,3178.6703999999995,142,0.9798686417251145,1,Bundle,Segment2,1.13,0.72,2.91,299,23,1,2506
2010-02-28,Sunday,February,5267,Electronics,240.66899999999998,Bluetooth Connectivity,253,79.30300000000001,-24,4.315606527610839,3,Discount,Segment3,0.51,0.14,2.71,263,26,1,301
2010-03-01,Monday,March,5159,Books,246.07080000000002,Bestseller,180,1419.7356,139,6.77073876185894,6,None,Segment1,0.87,0.36,1.92,234,14,0,1660
2010-03-02,Tuesday,March,5638,Furniture,623.8428000000001,Leather Upholstery,143,455.97420000000005,158,4.502902267144954,4,None,Segment1,0.92,0.22,1.51,565,65,0,621
2010-03-03,Wednesday,March,4494,Books,44.84400000000001,Award-Winning,405,362.55199999999996,117,2.8256722412145034,4,Discount,Segment1,2.22,0.16,4.06,24,-6,1,1920
2010-03-04,Thursday,March,8875,Furniture,119.65979999999999,Adjustable Shelves,475,1728.1692,61,8.426097326034393,6,Discount,Segment3,0.58,0.36,4.93,99,18,1,3866
2010-03-05,Friday,March,7008,Clothing,405.4601,Slim Fit,333,210.081,116,4.706771628277876,4,Discount,Segment2,1.73,0.3,3.35,144,18,1,458
2010-03-06,Saturday,March,1929,Electronics,849.0816,4K Ultra HD,305,895.1186000000001,17,4.370536287712172,3,Discount,Segment3,2.4,0.46,2.92,379,43,1,1193
2010-03-07,Sunday,March,8554,Clothing,110.26800000000001,Slim Fit,290,278.1636,7,5.945938478165634,4,Discount,Segment2,1.35,0.52,2.77,88,-1,1,338
2010-03-08,Monday,March,6356,Toys,596.3240800000001,Battery-Powered,248,279.9846,-61,12.216706583142775,9,None,Segment2,1.73,0.27,2.46,158,6,0,561
2010-03-09,Tuesday,March,7662,Toys,819.1774800000001,Interactive,185,939.172,51,5.056125237328365,7,Bundle,Segment1,1.86,0.4,1.89,552,63,1,1019
2010-03-10,Wednesday,March,4666,Books,873.1776,Hardcover,491,1229.448,-19,1.8055177388556998,2,None,Segment1,2.4,0.8,4.74,311,28,0,1338
2010-03-11,Thursday,March,6407,Electronics,370.69919999999996,Wi-Fi Enabled,228,872.1286,141,7.333392148927729,7,None,Segment2,1.8,0.58,2.4,240,23,0,720
2010-03-12,Friday,March,9008,Furniture,586.4522999999999,Adjustable Shelves,365,474.525,59,7.610092890835183,7,None,Segment1,1.94,0.74,3.71,188,9,0,482
2010-03-13,Saturday,March,3370,Books,132.91152,Award-Winning,501,621.2289999999999,-6,4.879959333239835,6,None,Segment1,1.47,0.7,5.0,126,4,0,1016
2010-03-14,Sunday,March,8690,Furniture,215.5179,Leather Upholstery,369,546.53,-32,3.1951670216240093,4,None,Segment1,0.73,0.31,3.75,295,25,0,1471
2010-03-15,Monday,March,9082,Furniture,414.8892,Leather Upholstery,396,3053.0412,30,4.551067311804088,4,None,Segment3,0.66,0.62,4.09,419,51,0,3573
2010-03-16,Tuesday,March,7640,Books,893.1648,Award-Winning,381,2195.6488,34,3.773267292390301,5,Discount,Segment2,2.4,0.86,3.94,343,39,1,1879
2010-03-17,Wednesday,March,4608,Books,68.13872,Hardcover,110,614.912,68,7.434445768405009,6,Discount,Segment2,2.21,0.4,1.19,27,-8,1,411
2010-03-18,Thursday,March,2541,Electronics,1279.989,Wi-Fi Enabled,145,2078.1055,-12,1.9542856449881643,2,Bundle,Segment2,2.25,0.67,1.62,311,40,1,1201
2010-03-19,Friday,March,6758,Toys,489.52288000000004,Battery-Powered,286,633.4832000000001,87,2.780315265627162,2,None,Segment3,2.24,0.56,2.71,222,13,0,679
2010-03-20,Saturday,March,6533,Books,188.96832000000003,Bestseller,213,1155.9587,69,2.599464839317274,4,Bundle,Segment1,1.59,0.89,2.16,216,12,1,522
2010-03-21,Sunday,March,3554,Clothing,155.5734,Slim Fit,416,588.4224,-38,1.1879527109163917,2,None,Segment3,0.58,0.64,4.17,212,19,0,685
2010-03-22,Monday,March,9503,Furniture,109.91040000000001,Adjustable Shelves,310,229.4397,62,1.3268047551253856,2,Discount,Segment2,1.07,0.63,3.11,54,-4,1,267
2010-03-23,Tuesday,March,8106,Toys,841.3204800000001,Interactive,472,1769.9163999999998,78,5.083492318956929,10,Bundle,Segment2,2.04,0.58,4.66,522,53,1,3088
2010-03-24,Wednesday,March,9657,Furniture,583.1238,Leather Upholstery,149,475.245,18,5.254581083977432,9,None,Segment3,1.19,0.15,1.41,439,49,0,920
2010-03-25,Thursday,March,2064,Clothing,92.2412,UV Protection,139,773.7461,120,4.923105259472975,9,Bundle,Segment3,2.29,0.29,1.38,42,13,1,627
2010-03-26,Friday,March,1124,Clothing,558.946,UV Protection,463,1552.155,31,5.896679551974101,4,Discount,Segment3,2.3,0.55,4.53,200,24,1,2416
2010-03-27,Saturday,March,5586,Toys,292.20763000000005,Interactive,213,1831.1104,-27,8.546066324730592,6,Bundle,Segment1,2.33,0.64,2.31,138,15,1,1118
2010-03-28,Sunday,March,3847,Clothing,167.5336,Slim Fit,346,534.8882,-8,2.897916001893662,3,Discount,Segment3,0.89,0.47,3.41,192,25,1,736
2010-03-29,Monday,March,1676,Books,39.26208,Bestseller,181,1423.2102,21,10.16472977854128,9,None,Segment2,1.69,0.38,1.67,30,4,0,1367
2010-03-30,Tuesday,March,6686,Electronics,263.50559999999996,Bluetooth Connectivity,228,1468.3066,106,13.665130910460936,10,Discount,Segment3,2.32,0.61,2.39,75,9,1,976
2010-03-31,Wednesday,March,3182,Clothing,330.20480000000003,Slim Fit,313,1191.264,-2,7.757936609260524,9,Discount,Segment2,1.52,0.8,3.23,322,34,1,846
2010-04-01,Thursday,April,1207,Clothing,932.1525,100% Cotton,307,51.1875,58,5.8789863342325415,9,Discount,Segment1,2.25,0.13,3.24,319,32,1,282
2010-04-02,Friday,April,1514,Furniture,332.75249999999994,Leather Upholstery,291,705.6587999999999,37,7.747039149463804,8,Discount,Segment2,1.38,0.49,2.74,165,26,1,940
2010-04-03,Saturday,April,6221,Clothing,1083.6284,100% Cotton,214,1961.5214999999998,-23,2.647892999853617,3,Discount,Segment3,2.44,0.47,2.1,250,23,1,2030
2010-04-04,Sunday,April,6630,Clothing,254.8,100% Cotton,252,309.82640000000004,79,4.90253266585196,7,Discount,Segment1,1.12,0.52,2.4,195,27,1,237
2010-04-05,Monday,April,6271,Toys,164.77395,Battery-Powered,248,2022.1890000000003,57,12.007636715745463,9,None,Segment2,1.11,0.78,2.52,77,4,0,1544
2010-04-06,Tuesday,April,9033,Clothing,21.462,100% Cotton,264,815.0787,34,8.528909559765246,9,None,Segment1,0.73,0.27,2.74,24,8,0,1434
2010-04-07,Wednesday,April,6384,Clothing,147.0516,100% Cotton,354,723.0249,-21,1.1500545935671938,1,Discount,Segment1,0.93,0.39,3.68,119,10,1,1352
2010-04-08,Thursday,April,9520,Clothing,132.9577,Slim Fit,163,558.5687999999999,11,12.893601850149196,10,None,Segment3,1.93,0.69,1.77,83,8,0,292
2010-04-09,Friday,April,7267,Books,125.2636,Award-Winning,463,1289.6032,-29,0.8679038828940833,1,None,Segment3,0.83,0.32,4.8,140,20,0,4562
2010-04-10,Saturday,April,2621,Electronics,229.67159999999996,4K Ultra HD,135,318.18149999999997,17,1.4265409177537947,1,Discount,Segment3,2.15,0.35,1.38,119,1,1,219
2010-04-11,Sunday,April,9673,Furniture,249.62325,Solid Wood,340,973.4587,35,9.37665137364361,7,None,Segment3,1.67,0.59,3.49,89,6,0,1300
2010-04-12,Monday,April,5999,Electronics,222.516,Wi-Fi Enabled,118,1310.6811,135,7.2301659835092025,5,Discount,Segment1,1.0,0.29,1.08,118,18,1,1167
2010-04-13,Tuesday,April,9867,Books,198.07584000000003,Award-Winning,342,502.39089999999993,106,5.188250336292431,10,Bundle,Segment1,0.68,0.11,3.53,240,30,1,2829
2010-04-14,Wednesday,April,4930,Electronics,438.37332,4K Ultra HD,447,2256.2558,30,7.20310241790568,5,Bundle,Segment2,2.27,0.79,4.28,184,15,1,2613
2010-04-15,Thursday,April,8317,Books,363.95968000000005,Bestseller,177,1091.1404,70,1.1365250981141022,2,Discount,Segment3,1.37,0.28,1.88,337,41,1,1197
2010-04-16,Friday,April,2418,Books,745.00384,Bestseller,433,1002.5423999999999,76,8.526730186995922,10,Bundle,Segment1,1.96,0.69,4.15,449,49,1,1335
2010-04-17,Saturday,April,6927,Books,466.9136,Award-Winning,132,460.4535000000001,170,2.8691803053642575,2,Discount,Segment3,1.9,0.17,1.5,440,40,1,959
2010-04-18,Sunday,April,5683,Furniture,1129.653,Adjustable Shelves,298,168.0702,81,5.386883649430603,5,None,Segment2,1.72,0.19,3.1,245,18,0,634
2010-04-19,Monday,April,6162,Books,220.08096,Bestseller,352,167.2384,8,6.91348350764132,5,None,Segment1,0.66,0.14,3.5,377,47,0,741
2010-04-20,Tuesday,April,3714,Electronics,91.7562,4K Ultra HD,172,2618.578,64,6.892106957650992,8,None,Segment3,1.09,0.68,1.89,76,2,0,1236
2010-04-21,Wednesday,April,4978,Toys,340.40501,Battery-Powered,243,379.24019999999996,0,11.173657857315721,10,Bundle,Segment3,0.97,0.18,2.5,253,29,1,1060
2010-04-22,Thursday,April,8647,Electronics,432.94800000000004,Bluetooth Connectivity,211,1931.6812,124,4.908236345969803,8,None,Segment2,1.09,0.74,2.13,356,29,0,999
2010-04-23,Friday,April,8186,Electronics,121.10592000000001,Bluetooth Connectivity,221,3010.7675,128,5.047395695855563,4,Bundle,Segment2,1.04,0.65,2.34,84,16,1,2396
2010-04-24,Saturday,April,8439,Furniture,260.6355,Leather Upholstery,192,2082.9402,186,4.134577910153826,3,Discount,Segment2,1.7,0.66,2.06,101,11,1,1526
2010-04-25,Sunday,April,3661,Clothing,337.1505,100% Cotton,218,676.5821,-37,8.053122901128772,10,Bundle,Segment3,0.73,0.53,1.98,405,49,1,562
2010-04-26,Monday,April,5246,Toys,710.7912900000001,Battery-Powered,448,1998.5818999999997,151,4.1532187761811725,3,Bundle,Segment2,1.77,0.83,4.43,287,38,1,2118
2010-04-27,Tuesday,April,7740,Toys,686.4317900000001,Educational,272,4393.5117,-35,4.860622547761773,7,None,Segment1,1.67,0.89,2.87,344,33,0,2295
2010-04-28,Wednesday,April,1653,Furniture,686.91225,Solid Wood,407,3394.7581,89,2.268624593784934,2,Bundle,Segment3,1.15,0.83,4.0,279,20,1,3668
2010-04-29,Thursday,April,4240,Toys,244.5498,Interactive,485,2198.9611999999997,82,3.029954808841799,4,None,Segment3,1.15,0.76,4.75,208,24,0,2576
2010-04-30,Friday,April,8923,Furniture,254.87580000000003,Adjustable Shelves,122,543.1562,131,3.5345142949731017,7,Discount,Segment3,1.24,0.61,1.34,127,5,1,262
2010-05-01,Saturday,May,8220,Clothing,900.5523999999999,100% Cotton,241,680.1165,39,4.704923696885315,4,Bundle,Segment3,2.36,0.35,2.55,318,28,1,1148
2010-05-02,Sunday,May,6303,Furniture,292.22775,Leather Upholstery,247,2332.7086999999997,18,12.750921802016201,9,Discount,Segment1,1.35,0.47,2.36,209,27,1,2729
2010-05-03,Monday,May,8270,Electronics,244.42464,Wi-Fi Enabled,449,925.0074,138,9.895380838459992,8,Bundle,Segment2,0.68,0.86,4.55,333,41,1,1062
2010-05-04,Tuesday,May,3096,Clothing,339.7583,Slim Fit,354,788.035,125,4.7484660317907395,6,Bundle,Segment2,1.61,0.73,3.56,174,17,1,891
2010-05-05,Wednesday,May,6791,Clothing,498.7752,UV Protection,134,2494.0064999999995,62,5.105113309850326,4,None,Segment1,1.54,0.57,1.45,338,24,0,1437
2010-05-06,Thursday,May,3170,Clothing,482.42220000000003,UV Protection,144,578.022,126,0.6044840990679335,1,Bundle,Segment2,1.27,0.12,1.61,295,19,1,1658
2010-05-07,Friday,May,2701,Furniture,20.843700000000002,Solid Wood,459,3355.9319,190,8.392917540532384,9,Discount,Segment2,1.22,0.89,4.73,12,3,1,3101
2010-05-08,Saturday,May,6102,Clothing,50.3958,100% Cotton,224,4265.2627,159,4.767132432251177,7,Bundle,Segment1,0.71,0.89,2.34,62,0,1,2218
2010-05-09,Sunday,May,3275,Clothing,196.5626,100% Cotton,240,2016.7168,105,6.762067847996502,5,Discount,Segment2,2.47,0.64,2.46,63,7,1,1447
2010-05-10,Monday,May,5216,Electronics,347.18244000000004,4K Ultra HD,126,2278.4249,-3,2.52607210881182,2,None,Segment1,1.09,0.73,1.46,295,22,0,907
2010-05-11,Tuesday,May,4221,Clothing,1139.9615,100% Cotton,209,705.1005,80,2.347977296674869,4,None,Segment3,2.35,0.51,1.94,637,61,0,537
2010-05-12,Wednesday,May,5413,Toys,536.05629,Battery-Powered,464,1197.6227999999999,-18,6.79296376892192,9,Discount,Segment1,1.03,0.44,4.79,693,68,1,2111
2010-05-13,Thursday,May,1695,Clothing,577.8708,UV Protection,444,409.19759999999997,121,4.816329782199099,9,Bundle,Segment1,1.56,0.24,4.6,378,45,1,1631
2010-05-14,Friday,May,4548,Toys,298.51976,Battery-Powered,146,500.50289999999995,77,13.590522400855619,10,Bundle,Segment3,1.61,0.59,1.56,120,5,1,217
2010-05-15,Saturday,May,4552,Clothing,409.1517,Slim Fit,284,220.2192,-5,2.5877817148194913,3,Bundle,Segment3,2.13,0.18,2.65,212,31,1,532
2010-05-16,Sunday,May,2824,Electronics,218.33903999999998,Bluetooth Connectivity,341,453.98479999999995,63,3.594633312174964,4,None,Segment2,1.97,0.41,3.22,98,19,0,713
2010-05-17,Monday,May,7064,Toys,185.91264999999999,Interactive,347,728.8424,131,3.76262280497105,3,None,Segment3,2.15,0.26,3.66,49,-1,0,1804
2010-05-18,Tuesday,May,8725,Clothing,452.4624,Slim Fit,256,119.65679999999999,113,0.5428385505939721,1,None,Segment1,2.34,0.12,2.7,275,37,0,615
2010-05-19,Wednesday,May,5460,Electronics,406.4442,Bluetooth Connectivity,484,1285.4836,182,2.9066315741030566,5,Bundle,Segment2,1.01,0.37,4.65,415,48,1,3151
2010-05-20,Thursday,May,9724,Furniture,915.5313,Adjustable Shelves,171,1219.264,59,12.253136315876674,10,Discount,Segment2,1.79,0.8,1.64,451,54,1,528
2010-05-21,Friday,May,4610,Clothing,210.74569999999997,UV Protection,402,829.66,-21,5.101475732160115,9,None,Segment2,1.21,0.5,3.93,256,27,0,1557
2010-05-22,Saturday,May,7506,Clothing,22.881600000000002,100% Cotton,140,240.94600000000003,108,4.92132903877796,6,Discount,Segment2,1.12,0.2,1.37,16,9,1,293
2010-05-23,Sunday,May,6472,Books,16.592,Award-Winning,436,1391.5739999999998,64,13.086363622212014,10,Bundle,Segment2,2.0,0.6,4.42,6,8,1,1919
2010-05-24,Monday,May,9927,Electronics,127.00079999999998,Wi-Fi Enabled,125,2497.033,47,1.5605522265881087,3,Discount,Segment2,0.6,0.77,1.39,241,16,1,733
2010-05-25,Tuesday,May,1967,Clothing,688.7231999999999,UV Protection,347,2357.0612,12,6.676521627733418,5,Bundle,Segment3,1.92,0.52,3.36,354,31,1,2995
2010-05-26,Wednesday,May,7435,Furniture,547.9932,Solid Wood,439,2414.8098,7,6.542456546708014,6,Discount,Segment3,2.48,0.54,4.37,158,12,1,3793
2010-05-27,Thursday,May,9426,Clothing,870.28,100% Cotton,183,824.3289000000001,-75,3.7413058571461413,5,None,Segment3,2.0,0.81,1.87,347,32,0,370
2010-05-28,Friday,May,4756,Furniture,440.8254,Adjustable Shelves,253,3153.857,-1,3.721223587076505,5,Discount,Segment3,1.48,0.7,2.71,286,30,1,2251
2010-05-29,Saturday,May,1262,Books,356.33136,Award-Winning,370,2993.9975999999997,95,4.76127018511453,9,Discount,Segment1,0.93,0.72,3.51,521,47,1,3049
2010-05-30,Sunday,May,2298,Furniture,614.8116,Leather Upholstery,228,351.5337,34,3.736826248630168,3,Discount,Segment2,1.17,0.21,2.42,192,19,1,806
2010-05-31,Monday,May,3341,Books,517.1212800000001,Hardcover,244,943.584,67,9.828446089694152,9,Discount,Segment3,1.56,0.32,2.58,288,20,1,1393
2010-06-01,Tuesday,June,4653,Furniture,443.15655000000004,Adjustable Shelves,138,3449.6283000000003,86,2.276143744368601,2,Bundle,Segment3,1.07,0.87,1.25,307,23,1,819
2010-06-02,Wednesday,June,4815,Clothing,391.0628,Slim Fit,484,1947.82,-32,6.704179680897916,10,Discount,Segment1,0.83,0.5,4.94,636,53,1,4036
2010-06-03,Thursday,June,7972,Electronics,228.13920000000002,Bluetooth Connectivity,447,868.3541999999999,122,7.429256803607463,6,None,Segment1,1.8,0.18,4.39,158,20,0,4381
2010-06-04,Friday,June,1357,Furniture,870.9462000000001,Adjustable Shelves,382,3250.9899,-44,8.185815198129825,6,Bundle,Segment1,1.77,0.87,3.78,261,17,1,2895
2010-06-05,Saturday,June,1922,Clothing,219.68280000000001,100% Cotton,340,4053.7765999999997,-66,4.973453698555344,8,Discount,Segment1,1.08,0.82,3.28,121,5,1,2853
2010-06-06,Sunday,June,8615,Toys,514.3098400000001,Interactive,496,2331.1998,97,4.140875810309857,4,None,Segment1,1.36,0.71,4.82,390,32,0,2750
2010-06-07,Monday,June,8534,Furniture,1227.2997,Solid Wood,503,2231.9937,130,8.113586668406018,10,Bundle,Segment3,1.87,0.87,4.93,627,61,1,2718
2010-06-08,Tuesday,June,8224,Toys,670.9027600000001,Battery-Powered,114,503.7579,67,6.306578165010266,6,Bundle,Segment1,1.58,0.27,1.03,476,47,1,418
